"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"C1, C7, C8, C9, C10";"C_0402_1005Metric";5;"0.1uF(50V1%)";;;
2;"C2, C4";"CP_EIA-3216-10_Kemet-I";2;"22uF(10V10%)";;;
3;"C3, C5";"C_0402_1005Metric";2;"0.1uF(10V)";;;
4;"C6";"BatteryHolder_Seiko_MS621F";1;"0.22F(3.3V)";;;
5;"C11, C12";"C_0402_1005Metric";2;"10pF(1%)";;;
6;"C13";"C_0402_1005Metric";1;"0.1uF";;;
7;"D1";"D_SOD-123";1;"1N5817";;;
8;"D2";"LED_0402_1005Metric";1;"Power";;;
9;"D3";"LED_0402_1005Metric";1;"L";;;
10;"D4";"LED_0402_1005Metric";1;"TX";;;
11;"D5";"LED_0402_1005Metric";1;"RX";;;
12;"F1";"Fuse_0805_2012Metric";1;"2A(10V)";;;
13;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Pin";;;
14;"J2, J3";"PinHeader_1x18_P2.54mm_Vertical";2;"Conn_01x18_Pin";;;
15;"J4";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
16;"R1, R2";"R_0402_1005Metric";2;"5.1k(10%)";;;
17;"R3, R4";"R_0402_1005Metric";2;"10k(10%)";;;
18;"R5, R7, R8, R9";"R_0402_1005Metric";4;"1k(10%)";;;
19;"R6";"R_0402_1005Metric";1;"100k(10%)";;;
20;"R10";"R_0805_2012Metric";1;"620(1%0.8W)";;;
21;"SW1";"SW_SPST_TS-1088-xR020";1;"Reset";;;
22;"SW2";"SW_DIP_SPSTx01_Slide_Copal_CVS-01xB_W5.9mm_P1mm";1;"BOOT0";;;
23;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
24;"U2";"SOT-223-3_TabPin2";1;"AMS1117";;;
25;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
26;"Y1";"Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm";1;"8MHz";;;
27;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz";;;
